UNIPROT,pvalue,qvalue,effectSize,directedEffect
P62249,0.013142012,0.042831,2.2336416,-2.2336416
P62258,0.003112529,0.017513486,2.2575321,2.2575321
P62263,0.5582586,0.66380006,0.3002119,-0.3002119
P62266,0.000156676,0.003209613,2.4549618,-2.4549618
P62269,0.69844097,0.78739285,0.1432848,-0.1432848
P62280,0.017371612,0.05168233,2.319622,-2.319622
P62318,0.78383166,0.8515188,0.08227062,-0.08227062
P62333,0.007562403,0.02962974,1.1003981,1.1003981
P62424,0.08190169,0.15957469,1.368331,-1.368331
P62701,0.5560807,0.66380006,0.06450462,-0.06450462
P62750,0.02000472,0.056648277,0.48208523,-0.48208523
P62753,0.14997545,0.25007534,0.28127098,0.28127098
P62805,0.065387785,0.1362879,1.3541117,1.3541117
